keys,en
SELFHOST_ARCH_DESC,"This is a simplified version of the Resurrection Server. It only relays in game match data. You cannot play while the main server is offline."
SERVER_START_ERROR,"The server could not start. Port 8690 is usually already in use. Close any other server instance and try again. Contact us on Discord if it keeps failing."
SERVER_HOSTED,"Server successfully hosted. Waiting for players to join..."
SERVER_STARTING,"Starting..."
SERVER_STOPPING,"Stopping..."
SERVER_STOP_CONFIRM,"Stop the server?"
SERVER_STOP_FAILED,"Could not stop the server. Try again."
SERVER_DOWNLOAD_CONFIRM,"Download the server? It takes around 300 MB."
POPUP_SERVER_TITLE,"Server"
RESULTS_TITLE,"RESULTS"
RESULTS_CLOSE_BEST,"LET'S GO!"
RESULTS_CLOSE_OK,"Nice"
RESULTS_SHOTS,"%d Shots"
RESULTS_PROGRESS,"%d%% Progress"
RESULTS_COSTUME,"Costume %s"
RESULTS_FF,"FF: %s"
RESULTS_INFECTION,"%.2f%% Infection"
RESULTS_POINTS,"Points: %d"
RESULTS_POINTS_BEST,"Points: %d (+%d)"
RESULTS_SURVIVED,"Survived"
RESULTS_DEATH,"Death"
RESULTS_ABANDONED,"Abandoned"
RESULTS_NO_HIT,"No Hit"
RESULTS_HITS,"%d Hits"
RESULTS_NEW_RECORD,"Record Achieved"
RESULTS_NO_RECORD,"No New Record"
BREAKDOWN_TITLE,"GAME BREAKDOWN"
BREAKDOWN_TOTAL_PROGRESS,"Total Progress: %d%%"
BREAKDOWN_FINAL_POINTS,"Final Points: %d"
BREAKDOWN_TIME,"Time: %s"
BREAKDOWN_INFECTION,"Infection: %d%%"
BREAKDOWN_HITS,"Hits: %d"
BREAKDOWN_SHOTS,"Shots: %d"
BREAKDOWN_PROGRESS,"Progress: %d%%"
BREAKDOWN_POINTS,"Points: %d"
DIFFICULTY_EASY,"Easy"
DIFFICULTY_NORMAL,"Normal"
DIFFICULTY_HARD,"Hard"
DIFFICULTY_VERY_HARD,"Very Hard"
INGAME_MENU,"Menu"
INGAME_LOBBY,"LOBBY"
INGAME_LOBBY_AREA,"LOBBY - AREA %d"
INGAME_LOBBY_AREA_ROOM,"LOBBY - AREA %d - ROOM %d"
INGAME_INFECTION,"%s - %.2f%%"
BADGE_INF_SHORT,"INF"
BADGE_INF_LONG,"INFECTION"
POPUP_EXIT_CONFIRM,"Exit Outbreak Hub?"
POPUP_OPEN_BROWSER,"This will open your browser."
POPUP_REMOVE_FRIEND,"Remove this friend?"
POPUP_EMULATOR_TITLE,"Emulator"
POPUP_PCSX2_MISSING,"PCSX2 executable not found. Check the emulator installation."
POPUP_PCSX2_START_FAILED,"Could not start PCSX2."
POPUP_PCSX2_DOWNLOAD,"PCSX2 not found. Download it?"
POPUP_NO_GAMEPAD_TITLE,"No gamepad detected"
POPUP_NO_GAMEPAD_MSG,"Connect a controller and set it up in the launcher settings."
POPUP_GUIDE_NOTICE,"Reaching the matchmaking lobby can be tricky.\nWe recommend reading the navigation guide first.\nIt opens in your browser."
POPUP_EMULATOR_ERROR_TITLE,"Emulator Error"
POPUP_INI_WRITE_FAILED,"Could not write the PCSX2 config. Check the file permissions."
POPUP_SETTINGS_APPLY_FAILED,"Could not apply the %s settings. Check the emulator installation."
POPUP_SESSION_KICKED,"Your account was logged in from another location.\nThis session will close."
SETTINGS_PART_GRAPHICS,"graphics"
SETTINGS_PART_CONTROLS,"controls"
SETTINGS_PART_ANTICHEAT,"anticheat"
SETTINGS_PART_ACHIEVEMENTS,"achievements"
LAUNCH_ERROR_TITLE,"Launch Error"
LAUNCH_ISO_MISSING,"Game ISO not found. Check the game path in settings."
LAUNCH_BIOS_MISSING,"BIOS not found. Check the BIOS path in settings."
LAUNCH_SETUP_GUIDE,"Need help setting up the game?\nThe setup guide opens in your browser."
UPDATE_AVAILABLE,"Version %s is available. Update now?"
UPDATE_IN_PROGRESS,"Updating..."
UPDATE_FAILED,"The download failed: %s"
INSTALL_DOWNLOADING_PCSX2,"Downloading PCSX2..."
INSTALL_UNZIPPING_PCSX2,"Unzipping PCSX2..."
INSTALL_DOWNLOADING_JDK,"Downloading JDK..."
INSTALL_UNZIPPING_JDK,"Unzipping JDK..."
INSTALL_MOVING_FILES,"Moving files..."
INSTALL_DOWNLOADING_SERVER,"Downloading server..."
INSTALL_UNZIPPING,"Unzipping files..."
DISCORD_IN_GAME,"In game"
DISCORD_IN_LAUNCHER,"In the launcher"
DISCORD_INFECTION,"INFECTION %.2f%%"
